Cargando STEP...
Solidos: 1392
Solidos PTZ (z_centro > 40): 167
PTZ extension global mm: x[-51.2,37.7] y[-19.3,19.3] z[47.5,167.9]

    #       cx       cy       cz |      dx      dy      dz |   vol_cm3
   85    -36.8     11.0    127.4 |     4.2     3.9     3.9 |      0.02
   86    -39.4     11.0    127.4 |     4.0     3.0     3.5 |      0.02
   87    -42.1     11.0    127.4 |     4.2     3.9     3.9 |      0.02
   88    -39.4    -10.0    127.4 |     4.0     3.0     3.5 |      0.02
   89    -36.8     -9.5    127.4 |     4.2     3.9     3.9 |      0.02
   90    -42.1    -10.0    127.4 |     4.2     3.9     3.9 |      0.02
   91    -41.3      1.2    127.4 |     0.3     1.0     0.5 |      0.00
   92    -41.1      5.1    127.6 |     0.5     1.0     0.5 |      0.00
   93    -43.3      3.8    129.4 |     0.5     0.5     1.0 |      0.00
   94    -43.3      4.9    129.4 |     0.5     0.5     1.0 |      0.00
   95    -43.3      2.6    129.4 |     0.5     0.5     1.0 |      0.00
   96    -16.8      2.6    129.8 |    18.5    30.5    18.5 |      5.29
   97    -41.3      7.8    130.3 |     0.3     0.5     1.0 |      0.00
   98    -40.9      5.5    130.3 |     1.1     3.0     2.5 |      0.00
   99    -42.2      0.5    130.4 |     1.6    25.0    24.0 |      0.93
  100    -41.1     -7.5    130.4 |     0.5     0.5     1.0 |      0.00
  101    -23.1     10.7    130.5 |     3.6     3.6     6.2 |      0.02
  102     -3.7    -11.3    131.0 |    45.1     9.8    24.7 |      8.53
  103      8.7     17.4    131.0 |    19.2     3.4    19.2 |      0.57
  104     -3.8      0.1    131.0 |    45.2    15.0    24.7 |     14.25
  105      2.6      8.3    131.0 |    28.8     7.2    21.1 |      1.24
  106      8.7     -7.6    131.0 |    17.6    18.3    17.6 |      0.83
  107      8.7    -16.0    131.0 |    19.2     4.5    19.2 |      0.76
  108      8.7    -17.8    131.0 |     6.0     7.1     6.0 |      0.10
  109     -3.7     12.5    131.0 |    45.2    14.1    24.8 |     11.13
  110     -2.4     10.7    131.5 |     3.6     3.6     6.2 |      0.02
  111    -41.3     -4.7    131.6 |     0.3     1.0     0.5 |      0.00
  112    -43.3     -4.1    131.7 |     0.5     1.0     0.5 |      0.00
  113    -43.3      5.2    132.4 |     0.5     0.5     1.0 |      0.00
  114    -41.1      5.1    132.7 |     0.5     1.0     0.5 |      0.00
  115    -43.3     -4.1    132.9 |     0.5     1.0     0.5 |      0.00
  116    -41.1     -0.6    133.0 |     0.5     1.0     0.5 |      0.00
  117    -42.8      0.7    133.9 |     0.2     0.1     0.1 |      0.00
  118    -41.1      5.1    133.9 |     0.5     1.0     0.5 |      0.00
