idx,label,name,n_solids,vol_cm3,cx_mm,cy_mm,cz_mm,dx_mm,dy_mm,dz_mm
1244,SOLID006,Part__Feature1245,1,2.861,-0.0,-0.0,-2.59,18.0,18.0,27.69
634,UGV-40PIN v1,Part__Feature635,1,2.783,62.6,32.31,-8.53,5.04,51.01,14.0
635,SOLID005,Part__Feature636,1,2.783,52.63,32.38,-8.57,5.04,51.01,14.0
1279,BEARING-51105 v2,Part__Feature1280,1,2.775,-0.0,-8.74,78.57,42.0,42.0,3.53
1280,BEARING-51105 v001,Part__Feature1281,1,2.775,-0.0,-8.74,86.43,42.0,42.0,3.53
1153,"2X USB2.0 PORTS, RPi4ModelB",Part__Feature1154,1,2.646,35.72,8.69,18.96,17.86,19.16,15.44
1139,"2X USB3.0 PORTS, RPi4ModelB",Part__Feature1140,1,2.452,35.73,8.94,1.0,17.46,19.4,15.83
1161,FAN-2507,Part__Feature1162,1,2.39,41.36,19.61,12.86,25.0,25.0,7.5
84,"自锁开关 v1",Part__Feature084,1,2.256,50.31,-0.0,-6.78,13.7,13.7,26.5
85,黑色半透明亚克力 v2,Part__Feature085,1,2.223,76.13,0.0,1.0,21.3,53.3,2.0
1160,X3-PI-COOLING-PLATE-0728,Part__Feature1161,1,1.914,41.36,19.61,5.89,25.0,25.0,5.0
106,SOLID,Part__Feature106,1,1.677,-0.48,0.57,-0.26,46.0,14.2,3.35
58,Coupling,Part__Feature058,1,1.539,0.0,-0.0,8.0,14.08,14.08,18.31
61,Coupling001,Part__Feature061,1,1.539,0.0,-0.0,8.0,14.08,14.08,18.31
64,Coupling002,Part__Feature064,1,1.539,0.0,-0.0,8.0,14.08,14.08,18.31
67,Coupling003,Part__Feature067,1,1.539,0.0,-0.0,8.0,14.08,14.08,18.31
1043,PI_CM4-FAN-3007-BODY001,Part__Feature1044,1,1.513,-16.5,9.98,-2.96,28.22,7.5,27.67
639,AT,Part__Feature640,1,1.456,0.0,-0.0,20.84,9.5,9.5,27.56
1375,LENS_M12-¡é14,Part__Feature1377,1,1.409,-4.12,2.29,-2.03,14.0,12.61,14.0
7,"DC MOTOR, JGB37-520",Part__Feature007,1,1.378,0.0,-0.0,-36.11,35.72,35.72,19.5
18,"DC MOTOR, JGB37-521",Part__Feature018,1,1.378,0.0,-0.0,-36.11,35.72,35.72,19.5
29,"DC MOTOR, JGB37-522",Part__Feature029,1,1.378,0.0,-0.0,-36.11,35.72,35.72,19.5
40,"DC MOTOR, JGB37-523",Part__Feature040,1,1.378,0.0,-0.0,-36.11,35.72,35.72,19.5
1045,PI4-FAN-3007-BRACKET-A,Part__Feature1046,1,1.261,11.3,3.77,-2.52,27.8,4.5,55.0
1229,PCB-CHAZUO_92,Part__Feature1230,1,1.238,-19.05,143.48,65.85,28.8,7.2,21.1
1236,PCB-CHAZUO_92 (1),Part__Feature1237,1,1.238,-33.28,75.22,-143.94,28.8,7.2,21.1
1373,uid__9223372036858459740.step.IGS.STEP,Part__Feature1375,1,0.927,0.0,-3.88,0.8,25.0,24.0,1.6
1303,舵机型材底座-51105轴承定位片 v1,Part__Feature1304,1,0.893,-0.0,-8.74,80.5,25.0,25.0,2.0
1230,GE_27,Part__Feature1231,1,0.825,-28.83,129.44,65.9,17.64,18.3,17.61
1237,GE_27 (1),Part__Feature1238,1,0.825,-23.5,61.18,-143.99,17.64,18.3,17.61
647,Header-SMD-F-2.54X40,Part__Feature648,1,0.789,32.42,52.48,-4.45,51.3,6.6,5.1
1231,金属舵盘（驱动） v2,Part__Feature1232,1,0.757,-28.83,119.83,65.91,19.2,4.5,19.2
1238,金属舵盘（驱动） v2 (1),Part__Feature1239,1,0.757,-23.5,51.58,-144.0,19.2,4.5,19.2
1248,圆形隔离柱 M3*35 v2,Part__Feature1249,1,0.742,-16.57,23.18,-73.95,6.0,6.0,35.0
1249,圆形隔离柱 M3*35 v2 (1),Part__Feature1250,1,0.742,-16.57,57.18,-73.95,6.0,6.0,35.0
1250,圆形隔离柱 M3*35 v2 (2),Part__Feature1251,1,0.742,17.43,57.18,-73.95,6.0,6.0,35.0
1251,圆形隔离柱 M3*35 v2 (3),Part__Feature1252,1,0.742,17.43,23.18,-73.95,6.0,6.0,35.0
51,1020堵头B v5,Part__Feature051,1,0.741,-74.72,-101.1,6.67,10.34,20.0,10.0
52,1020堵头B v001,Part__Feature052,1,0.741,74.72,-101.1,6.67,10.34,20.0,10.0
54,1020堵头B v002,Part__Feature054,1,0.741,-74.72,101.1,6.67,10.34,20.0,10.0
55,1020堵头B v003,Part__Feature055,1,0.741,74.72,101.1,6.67,10.34,20.0,10.0
1173,喇叭耳朵,Part__Feature1174,1,0.701,-35.0,42.45,11.5,11.4,24.4,3.0
1174,喇叭耳朵001,Part__Feature1175,1,0.701,19.0,42.45,11.5,11.4,24.4,3.0
1175,喇叭耳朵002,Part__Feature1176,1,0.701,-35.0,-42.45,11.5,11.4,24.4,3.0
1176,喇叭耳朵003,Part__Feature1177,1,0.701,19.0,-42.45,11.5,11.4,24.4,3.0
445,Extruded (22),Part__Feature445,1,0.697,0.0,-0.0,1.15,16.3,18.6,2.3
78,尼龙柱 7*4.2*25 v2,Part__Feature078,1,0.616,-0.0,-73.51,-41.21,7.0,25.0,7.0
79,尼龙柱 7*4.2*25 v001,Part__Feature079,1,0.616,0.0,73.51,-41.21,7.0,25.0,7.0
1044,PI_CM4-FAN-3007-BODY002,Part__Feature1045,1,0.601,-17.14,6.58,-1.97,26.86,2.0,28.95
8,"MOTOR SHAFT, JGB37-520",Part__Feature008,1,0.593,0.06,6.98,10.61,6.0,6.0,21.5
19,"MOTOR SHAFT, JGB37-521",Part__Feature019,1,0.593,0.06,6.98,10.61,6.0,6.0,21.5
30,"MOTOR SHAFT, JGB37-522",Part__Feature030,1,0.593,0.06,6.98,10.61,6.0,6.0,21.5
41,"MOTOR SHAFT, JGB37-523",Part__Feature041,1,0.593,0.06,6.98,10.61,6.0,6.0,21.5
1239,金属舵盘（从动） v2 (1),Part__Feature1240,1,0.566,-23.5,86.01,-144.0,19.2,3.35,19.2
86,DC5521 v1,Part__Feature086,1,0.552,50.31,15.24,-0.71,10.0,10.0,27.5
636,BASE,Part__Feature637,1,0.514,-0.0,-0.06,4.47,9.43,9.43,15.0
9,"SHAFT COUPLER, JGB37-520",Part__Feature009,1,0.504,0.0,7.0,2.97,12.0,12.0,6.0
20,"SHAFT COUPLER, JGB37-521",Part__Feature020,1,0.504,0.0,7.0,2.97,12.0,12.0,6.0
31,"SHAFT COUPLER, JGB37-522",Part__Feature031,1,0.504,0.0,7.0,2.97,12.0,12.0,6.0
42,"SHAFT COUPLER, JGB37-523",Part__Feature042,1,0.504,0.0,7.0,2.97,12.0,12.0,6.0
1055,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB",Part__Feature1056,1,0.497,-10.0,2.22,-24.5,50.8,2.5,5.08
4,BEAR-HOLDER,Part__Feature004,1,0.487,0.0,62.01,-41.21,24.52,2.0,22.6
5,BEAR-HOLDER001,Part__Feature005,1,0.487,0.0,-62.01,-41.21,24.52,2.0,22.6
1046,PI4-FAN-3007-BRACKET-B,Part__Feature1047,1,0.454,-34.32,3.62,-0.74,13.0,4.5,55.0
56,_F624ZZ_Outer_Ring_2,Part__Feature056,1,0.389,-141.26,-0.0,-41.21,5.0,16.24,16.24
57,_F624ZZ_Outer_Ring_001,Part__Feature057,1,0.389,-141.26,-0.0,-41.21,5.0,16.24,16.24
1221,六角铜柱 M2.5*25+6 v2,Part__Feature1222,1,0.375,-37.0,-43.0,23.98,4.6,5.31,31.0
1222,六角铜柱 M2.5*25+6 v001,Part__Feature1223,1,0.375,21.0,-43.0,23.98,4.6,5.31,31.0
1223,六角铜柱 M2.5*25+6 v002,Part__Feature1224,1,0.375,-37.0,43.0,23.98,4.6,5.31,31.0
1224,六角铜柱 M2.5*25+6 v003,Part__Feature1225,1,0.375,21.0,43.0,23.98,4.6,5.31,31.0
856,Extruded (1) (1),Part__Feature857,1,0.357,0.02,-0.03,2.37,12.0,6.4,4.73
1374,holder_M12_13.1mm,Part__Feature1376,1,0.332,-4.1,-3.7,-2.03,22.0,8.03,13.1
1049,"Broadcom BCM2711B0 CPU, RPi4ModelB001",Part__Feature1050,1,0.323,-13.24,2.1,-4.51,14.6,1.8,14.6
1116,"Microphone Plug, RPi4ModelB003",Part__Feature1117,1,0.28,11.5,3.56,22.96,7.0,7.05,15.0
110,GLASS,Part__Feature110,1,0.248,-0.0,-0.0,7.48,11.91,11.91,3.9
113,GLASS001,Part__Feature113,1,0.248,0.0,-0.0,7.48,11.91,11.91,3.9
