idx,label,name,n_solids,vol_cm3,cx_mm,cy_mm,cz_mm,dx_mm,dy_mm,dz_mm
15,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N001",Part__Feature015,1,0.094,-0.0,-15.5,-11.98,4.32,4.73,26.6
16,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N002",Part__Feature016,1,0.094,13.42,7.75,-11.98,4.74,4.9,26.6
25,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N003",Part__Feature025,1,0.094,-13.42,7.75,-11.98,4.3,4.3,26.6
26,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N004",Part__Feature026,1,0.094,-0.0,-15.5,-11.98,4.32,4.73,26.6
27,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N005",Part__Feature027,1,0.094,13.42,7.75,-11.98,4.74,4.9,26.6
36,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N006",Part__Feature036,1,0.094,-13.42,7.75,-11.98,4.3,4.3,26.6
37,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N007",Part__Feature037,1,0.094,-0.0,-15.5,-11.98,4.32,4.73,26.6
38,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N008",Part__Feature038,1,0.094,13.42,7.75,-11.98,4.74,4.9,26.6
47,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N009",Part__Feature047,1,0.094,-13.42,7.75,-11.98,4.3,4.3,26.6
48,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N010",Part__Feature048,1,0.094,-0.0,-15.5,-11.98,4.32,4.73,26.6
49,"pan cross head_am_B18.6.7M - M2 x 0.4 x 25 Type I Cross Recessed PHMS --25N011",Part__Feature049,1,0.094,13.42,7.75,-11.98,4.74,4.9,26.6
1162,SD Card v1,Part__Feature1163,1,0.094,30.42,0.05,28.4,10.26,11.5,0.8
1278,NUT-M4 v3,Part__Feature1279,1,0.093,1.02,-7.63,160.04,7.8,7.79,3.5
1283,BEARING-51105 v004,Part__Feature1284,1,0.09,-16.82,-8.74,82.5,5.56,5.56,5.56
1284,BEARING-51105 v005,Part__Feature1285,1,0.09,-15.54,-2.3,82.5,5.56,5.56,5.56
1285,BEARING-51105 v006,Part__Feature1286,1,0.09,-11.9,3.15,82.5,5.56,5.56,5.56
1286,BEARING-51105 v007,Part__Feature1287,1,0.09,-6.44,6.8,82.5,5.56,5.56,5.56
1287,BEARING-51105 v008,Part__Feature1288,1,0.09,-0.0,8.08,82.5,5.56,5.56,5.56
1288,BEARING-51105 v009,Part__Feature1289,1,0.09,6.44,6.8,82.5,5.56,5.56,5.56
1289,BEARING-51105 v010,Part__Feature1290,1,0.09,11.9,3.15,82.5,5.56,5.56,5.56
1290,BEARING-51105 v011,Part__Feature1291,1,0.09,15.54,-2.3,82.5,5.56,5.56,5.56
1291,BEARING-51105 v012,Part__Feature1292,1,0.09,16.82,-8.74,82.5,5.56,5.56,5.56
1292,BEARING-51105 v013,Part__Feature1293,1,0.09,15.54,-15.18,82.5,5.56,5.56,5.56
1293,BEARING-51105 v014,Part__Feature1294,1,0.09,11.9,-20.64,82.5,5.56,5.56,5.56
1294,BEARING-51105 v015,Part__Feature1295,1,0.09,6.44,-24.28,82.5,5.56,5.56,5.56
1295,BEARING-51105 v016,Part__Feature1296,1,0.09,-0.0,-25.56,82.5,5.56,5.56,5.56
1296,BEARING-51105 v017,Part__Feature1297,1,0.09,-6.44,-24.28,82.5,5.56,5.56,5.56
1297,BEARING-51105 v018,Part__Feature1298,1,0.09,-11.9,-20.64,82.5,5.56,5.56,5.56
1298,BEARING-51105 v019,Part__Feature1299,1,0.09,-15.54,-15.18,82.5,5.56,5.56,5.56
1112,"Camera Connector, RPi4ModelB016",Part__Feature1113,1,0.087,4.59,5.18,16.5,3.9,5.18,22.4
1134,"Display Connector, RPi4ModelB016",Part__Feature1135,1,0.087,-39.09,5.18,0.0,3.9,5.18,22.4
1281,BEARING-51105 v002,Part__Feature1282,1,0.076,-0.0,-8.74,82.5,42.98,42.98,3.35
160,SOLID003,Part__Feature160,1,0.066,16.03,13.07,-9.25,8.34,3.56,7.05
569,SOLID004,Part__Feature569,1,0.066,16.03,13.07,-9.25,8.34,3.56,7.05
824,SOLID (22),Part__Feature825,1,0.066,16.03,13.07,-9.25,8.34,3.56,7.05
1151,"SD Card Slot, RPi4ModelB009",Part__Feature1152,1,0.065,-33.65,-1.38,-0.75,10.28,1.3,11.71
1136,"Female Micro HDMI Connector, RPi4ModelB",Part__Feature1137,1,0.063,-3.0,2.38,25.58,6.5,3.52,7.5
1137,"Female Micro HDMI Connector, RPi4ModelB001",Part__Feature1138,1,0.063,-16.5,2.38,25.58,6.5,3.52,7.5
855,Cylinder (2) (1),Part__Feature856,1,0.061,0.0,-0.0,2.0,4.4,4.4,4.0
638,NUT,Part__Feature639,1,0.056,-0.0,-0.0,6.67,8.0,9.24,1.85
990,Extruded (7),Part__Feature991,1,0.055,0.0,-0.0,0.42,8.15,8.15,0.83
1282,BEARING-51105 v003,Part__Feature1283,1,0.054,-0.0,-8.74,82.5,32.14,32.14,4.3
1000,SOIC16-150,Part__Feature1001,1,0.053,20.1,14.34,1.02,9.8,5.8,1.75
1152,"VIA VL805 PCIe USB 3.0 controller, RPi4ModelB",Part__Feature1153,1,0.052,17.5,1.2,4.0,8.8,0.8,8.8
1050,"2.54 mm DUPONT MALE PIN HEADER, POE, 2X2, RPi4ModelB",Part__Feature1051,1,0.049,19.0,2.22,-18.36,5.08,2.5,5.08
181,SOLID (21),Part__Feature181,1,0.046,16.04,13.28,-8.25,9.58,4.16,7.53
590,SOLID (21)001,Part__Feature590,1,0.046,16.04,13.28,-8.25,9.58,4.16,7.53
845,SOLID (21) (1),Part__Feature846,1,0.046,16.04,13.28,-8.25,9.58,4.16,7.53
1179,黑色尼龙螺丝 M2*8 v2,Part__Feature1180,1,0.045,-32.0,-43.0,11.12,4.11,4.11,9.85
1180,黑色尼龙螺丝 M2*8 v001,Part__Feature1181,1,0.045,16.0,-43.0,11.12,4.11,4.11,9.85
1181,黑色尼龙螺丝 M2*8 v002,Part__Feature1182,1,0.045,-32.0,43.0,11.12,4.11,4.11,9.85
1182,黑色尼龙螺丝 M2*8 v003,Part__Feature1183,1,0.045,16.0,43.0,11.12,4.11,4.11,9.85
1370,5PIN1.0.xtd.step.IGS.STEP,Part__Feature1372,1,0.043,-6.5,-12.2,-1.34,7.0,5.4,3.0
1187,黑色金属沉头螺丝 KM2.5*8 v1,Part__Feature1188,1,0.042,-37.0,43.0,36.85,3.98,3.98,8.0
1188,黑色金属沉头螺丝 KM2.5*8 v001,Part__Feature1189,1,0.042,-37.0,-43.0,36.85,3.98,3.98,8.0
1189,黑色金属沉头螺丝 KM2.5*8 v002,Part__Feature1190,1,0.042,21.0,43.0,36.85,3.98,3.98,8.0
1190,黑色金属沉头螺丝 KM2.5*8 v003,Part__Feature1191,1,0.042,21.0,-43.0,36.85,3.98,3.98,8.0
1191,黑色金属沉头螺丝 KM2.5*8 v004,Part__Feature1192,1,0.042,-60.61,43.0,36.85,3.98,3.98,8.0
1192,黑色金属沉头螺丝 KM2.5*8 v005,Part__Feature1193,1,0.042,-60.61,-43.0,36.85,3.98,3.98,8.0
1205,黑色金属沉头螺丝 KM2.5*8 v006,Part__Feature1206,1,0.042,76.13,-20.0,-1.76,3.98,3.98,8.0
1206,黑色金属沉头螺丝 KM2.5*8 v007,Part__Feature1207,1,0.042,76.13,20.0,-1.76,3.98,3.98,8.0
1388,黑色金属沉头螺丝 KM2.5*8 v008,Part__Feature1390,1,0.042,-26.59,16.28,148.23,3.98,8.0,3.98
1389,黑色金属沉头螺丝 KM2.5*8 v009,Part__Feature1391,1,0.042,-26.59,-14.25,148.23,3.98,8.0,3.98
1390,黑色金属沉头螺丝 KM2.5*8 v010,Part__Feature1392,1,0.042,-6.59,-14.25,148.23,3.98,8.0,3.98
1391,黑色金属沉头螺丝 KM2.5*8 v011,Part__Feature1393,1,0.042,-6.59,16.28,148.23,3.98,8.0,3.98
1141,"Cypress CYW43455 Wireless Module Cover, RPi4ModelB",Part__Feature1142,1,0.039,-30.5,2.09,-14.5,11.0,1.6,13.0
92,Extruded (31),Part__Feature092,1,0.037,0.0,0.0,0.25,6.12,11.96,0.5
185,Extruded (3),Part__Feature185,1,0.037,0.0,0.03,0.5,4.9,7.72,0.99
544,Extruded (3)001,Part__Feature544,1,0.037,0.0,0.03,0.5,4.9,7.72,0.99
870,Extruded (3) (1),Part__Feature871,1,0.037,-0.0,-0.0,0.25,11.96,6.12,0.5
1020,Extruded (11) (1),Part__Feature1021,1,0.037,-0.0,-0.0,0.25,6.12,11.96,0.5
1154,"Broadcom BCM54213PE Gigabit Ethernet Transceiver, RPi4ModelB",Part__Feature1155,1,0.036,16.5,1.3,-10.0,6.8,1.0,6.8
89,Extruded (28),Part__Feature089,1,0.035,-0.07,0.0,0.25,6.13,11.96,0.5
873,Extruded (5) (1),Part__Feature874,1,0.035,-0.0,-0.07,0.25,11.96,6.13,0.5
1023,Extruded (13) (1),Part__Feature1024,1,0.035,-0.07,-0.0,0.25,6.13,11.96,0.5
999,Extruded (9) (1),Part__Feature1000,1,0.029,0.0,-0.0,0.71,4.0,5.0,1.43
246,User_Library-sop-8,Part__Feature246,1,0.028,13.44,16.14,0.82,5.02,6.04,1.6
443,User_Library-sop-001,Part__Feature443,1,0.028,43.11,21.83,-2.42,5.02,6.04,1.6
1372,sop-8.xtd.step.IGS.STEP,Part__Feature1374,1,0.028,5.7,-12.2,2.42,6.04,5.02,1.9
59,SCREWS,Part__Feature059,1,0.026,-0.0,-3.85,14.0,3.46,5.33,3.46
60,SCREWS001,Part__Feature060,1,0.026,-0.0,3.7,14.04,3.46,5.33,3.46
62,SCREWS002,Part__Feature062,1,0.026,-0.0,-3.85,14.0,3.46,5.33,3.46
63,SCREWS003,Part__Feature063,1,0.026,-0.0,3.7,14.04,3.46,5.33,3.46
65,SCREWS004,Part__Feature065,1,0.026,-0.0,-3.85,14.0,3.46,5.33,3.46
66,SCREWS005,Part__Feature066,1,0.026,-0.0,3.7,14.04,3.46,5.33,3.46
68,SCREWS006,Part__Feature068,1,0.026,-0.0,-3.85,14.0,3.46,5.33,3.46
69,SCREWS007,Part__Feature069,1,0.026,-0.0,3.7,14.04,3.46,5.33,3.46
1113,"Microphone Plug, RPi4ModelB",Part__Feature1114,1,0.025,11.5,4.66,24.6,7.23,7.2,9.23
637,WIRE,Part__Feature638,1,0.024,-0.0,-0.0,-5.49,2.1,2.1,7.3
1029,SMA-5401_AF0,Part__Feature1030,1,0.024,-0.0,-0.0,1.05,5.13,2.6,2.11
357,Extruded (15),Part__Feature357,1,0.023,-0.0,-0.0,0.51,3.43,6.73,1.02
289,"TSSOP14_ËÜÌå",Part__Feature289,1,0.022,0.0,-0.0,0.53,4.6,5.0,1.0
1371,MIC-S2329.xtd.step.IGS.STEP,Part__Feature1373,1,0.022,-9.86,-12.76,2.21,3.8,4.8,1.25
542,SMT_Tactile_Switch_PTS-820,Part__Feature542,1,0.021,46.74,15.27,0.83,4.5,3.1,2.55
543,SMT_Tactile_Switch_PTS-821,Part__Feature543,1,0.021,46.74,21.27,0.83,4.5,3.1,2.55
1156,金属十字螺丝 M1.4*10 v1,Part__Feature1157,1,0.021,-28.62,-24.5,24.04,4.22,4.22,10.8
1157,金属十字螺丝 M1.4*10 v001,Part__Feature1158,1,0.021,-28.62,24.5,24.04,4.22,4.22,10.8
1158,金属十字螺丝 M1.4*10 v002,Part__Feature1159,1,0.021,29.38,-24.5,24.04,4.22,4.22,10.8
1159,金属十字螺丝 M1.4*10 v003,Part__Feature1160,1,0.021,29.38,24.5,24.04,4.22,4.22,10.8
1155,"MxL7704 Universal PMIC, RPi4ModelB",Part__Feature1156,1,0.02,-32.5,1.2,16.0,5.4,0.8,5.4
1266,"黑色金属圆头尖尾自攻螺丝 PA2*5 v2",Part__Feature1267,1,0.019,-15.97,20.26,141.25,6.15,3.63,3.63
1267,"黑色金属圆头尖尾自攻螺丝 PA2*5 v001",Part__Feature1268,1,0.019,-15.97,20.26,120.75,6.15,3.63,3.63
1268,"黑色金属圆头尖尾自攻螺丝 PA2*5 v002",Part__Feature1269,1,0.019,-15.97,-0.44,141.25,6.15,3.63,3.63
1269,"黑色金属圆头尖尾自攻螺丝 PA2*5 v003",Part__Feature1270,1,0.019,17.56,24.01,120.75,6.15,3.63,3.63
1270,"黑色金属圆头尖尾自攻螺丝 PA2*5 v004",Part__Feature1271,1,0.019,17.56,24.01,141.25,6.15,3.63,3.63
1271,"黑色金属圆头尖尾自攻螺丝 PA2*5 v005",Part__Feature1272,1,0.019,17.56,-0.44,141.25,6.15,3.63,3.63
1272,"黑色金属圆头尖尾自攻螺丝 PA2*5 v006",Part__Feature1273,1,0.019,10.68,23.14,131.92,3.63,3.63,6.15
1273,"黑色金属圆头尖尾自攻螺丝 PA2*5 v007",Part__Feature1274,1,0.019,-10.25,-17.04,75.47,3.63,3.63,6.15
1274,"黑色金属圆头尖尾自攻螺丝 PA2*5 v008",Part__Feature1275,1,0.019,10.68,2.44,132.92,3.63,3.63,6.15
1275,"黑色金属圆头尖尾自攻螺丝 PA2*5 v009",Part__Feature1276,1,0.019,-10.25,-37.74,76.47,3.63,3.63,6.15
1376,"六角铜柱 M2*4",Part__Feature1378,1,0.019,-9.96,39.42,140.85,3.0,4.0,3.46
1377,"六角铜柱 M2*001",Part__Feature1379,1,0.019,11.04,39.42,140.85,3.0,4.0,3.46
1378,"六角铜柱 M2*002",Part__Feature1380,1,0.019,-9.96,39.42,127.35,3.0,4.0,3.46
1379,"六角铜柱 M2*003",Part__Feature1381,1,0.019,11.04,39.42,127.35,3.0,4.0,3.46
1380,银色金属螺丝 M2x3 v2,Part__Feature1382,1,0.019,-9.96,42.7,140.85,3.9,4.22,3.9
1381,银色金属螺丝 M2x3 v001,Part__Feature1383,1,0.019,-9.96,42.7,127.35,3.9,4.22,3.9
1382,银色金属螺丝 M2x3 v002,Part__Feature1384,1,0.019,11.04,42.7,140.85,3.9,4.22,3.9
1383,银色金属螺丝 M2x3 v003,Part__Feature1385,1,0.019,11.04,42.7,127.35,3.9,4.22,3.9
1384,银色金属螺丝 M2x3 v004,Part__Feature1386,1,0.019,-9.46,36.23,127.35,3.9,4.22,3.9
1385,银色金属螺丝 M2x3 v005,Part__Feature1387,1,0.019,-9.46,36.23,140.85,3.9,4.22,3.9
1386,银色金属螺丝 M2x3 v006,Part__Feature1388,1,0.019,11.04,36.23,140.85,3.9,4.22,3.9
1387,银色金属螺丝 M2x3 v007,Part__Feature1389,1,0.019,11.04,36.23,127.35,3.9,4.22,3.9
1183,NUT-M2 v2,Part__Feature1184,1,0.018,-32.0,43.0,7.65,4.0,4.62,1.7
1184,NUT-M2 v001,Part__Feature1185,1,0.018,16.0,43.0,7.65,4.0,4.62,1.7
1185,NUT-M2 v002,Part__Feature1186,1,0.018,-32.0,-43.0,7.65,4.0,4.62,1.7
1186,NUT-M2 v003,Part__Feature1187,1,0.018,16.0,-43.0,7.65,4.0,4.62,1.7
1142,"SD Card Slot, RPi4ModelB",Part__Feature1143,1,0.017,-34.83,-2.03,0.18,11.4,1.45,11.95
12,"CONNECTION, DC MOTOR, JGB37-520",Part__Feature012,1,0.016,-0.0,12.39,-51.47,3.0,3.97,10.88
13,"CONNECTION, DC MOTOR, JGB37-521",Part__Feature013,1,0.016,0.0,-12.39,-51.47,3.0,3.97,10.88
23,"CONNECTION, DC MOTOR, JGB37-522",Part__Feature023,1,0.016,-0.0,12.39,-51.47,3.0,3.97,10.88
24,"CONNECTION, DC MOTOR, JGB37-523",Part__Feature024,1,0.016,0.0,-12.39,-51.47,3.0,3.97,10.88
34,"CONNECTION, DC MOTOR, JGB37-524",Part__Feature034,1,0.016,-0.0,12.39,-51.47,3.0,3.97,10.88
35,"CONNECTION, DC MOTOR, JGB37-525",Part__Feature035,1,0.016,0.0,-12.39,-51.47,3.0,3.97,10.88
45,"CONNECTION, DC MOTOR, JGB37-526",Part__Feature045,1,0.016,-0.0,12.39,-51.47,3.0,3.97,10.88
46,"CONNECTION, DC MOTOR, JGB37-527",Part__Feature046,1,0.016,0.0,-12.39,-51.47,3.0,3.97,10.88
651,Extruded (5),Part__Feature652,1,0.016,0.0,0.01,1.27,1.29,5.07,2.54
658,Extruded (5)001,Part__Feature659,1,0.016,0.0,0.01,1.27,1.29,5.07,2.54
116,六角铜柱 M2.5*8+3 v001,Part__Feature116,1,0.015,29.38,24.5,-0.5,2.5,2.5,3.0
118,六角铜柱 M2.5*8+3 v004,Part__Feature118,1,0.015,-28.62,24.5,-0.5,2.5,2.5,3.0
120,六角铜柱 M2.5*8+3 v007,Part__Feature120,1,0.015,29.38,-24.5,-0.5,2.5,2.5,3.0
122,六角铜柱 M2.5*8+3 v010,Part__Feature122,1,0.015,-28.62,-24.5,-0.5,2.5,2.5,3.0
124,六角铜柱 M2.5*8+3 v013,Part__Feature124,1,0.015,29.38,24.5,9.5,2.5,2.5,3.0
126,六角铜柱 M2.5*8+3 v016,Part__Feature126,1,0.015,-28.62,24.5,9.5,2.5,2.5,3.0
128,六角铜柱 M2.5*8+3 v019,Part__Feature128,1,0.015,-28.62,-24.5,9.5,2.5,2.5,3.0
130,六角铜柱 M2.5*8+3 v022,Part__Feature130,1,0.015,29.38,-24.5,9.5,2.5,2.5,3.0
1031,六角铜柱 M2.5*8+3 v025,Part__Feature1032,1,0.015,21.0,43.0,0.5,2.5,2.5,3.0
1033,六角铜柱 M2.5*8+3 v028,Part__Feature1034,1,0.015,21.0,-43.0,0.5,2.5,2.5,3.0
1035,六角铜柱 M2.5*8+3 v031,Part__Feature1036,1,0.015,-37.0,-43.0,0.5,2.5,2.5,3.0
1037,六角铜柱 M2.5*8+3 v034,Part__Feature1038,1,0.015,-37.0,43.0,0.5,2.5,2.5,3.0
1024,Extruded (14) (1),Part__Feature1025,1,0.014,-0.0,-0.0,0.64,3.28,3.43,1.27
428,"Cap,_elec,_6.3x4.2 (1)",Part__Feature428,1,0.013,4.6,14.85,0.15,6.6,6.6,0.3
90,Extruded (29),Part__Feature090,1,0.011,0.0,0.0,2.25,0.2,12.0,4.5
872,Extruded (4) (1),Part__Feature873,1,0.011,0.0,0.0,2.25,12.0,0.2,4.5
1022,Extruded (12) (1),Part__Feature1023,1,0.011,-0.0,0.0,2.25,0.2,12.0,4.5
109,LED,Part__Feature109,1,0.01,-0.0,-0.0,6.25,11.0,11.0,0.1
112,LED001,Part__Feature112,1,0.01,0.0,-0.0,6.25,11.0,11.0,0.1
433,Extruded (20),Part__Feature433,1,0.01,-0.0,0.0,0.65,1.84,4.1,1.3
614,Extruded (30) (1),Part__Feature614,1,0.01,-0.0,-0.0,0.65,4.1,1.84,1.3
1242,LED002,Part__Feature1243,1,0.01,-0.0,-0.0,6.25,11.0,11.0,0.1
318,Extruded (8),Part__Feature318,1,0.009,0.0,0.0,0.5,2.9,3.05,1.0
907,Extruded (6),Part__Feature908,1,0.009,-0.0,-0.0,0.5,2.6,3.4,1.0
908,Extruded (6)001,Part__Feature909,1,0.009,-0.0,-0.0,0.5,2.6,3.4,1.0
1025,Cylinder (9),Part__Feature1026,1,0.009,0.0,-0.0,0.76,2.79,2.79,1.52
1028,Extruded (17) (1),Part__Feature1029,1,0.009,-0.0,-0.0,0.44,3.1,3.15,0.88
1114,"Microphone Plug, RPi4ModelB001",Part__Feature1115,1,0.009,14.04,3.97,19.13,2.42,7.3,8.23
1115,"Microphone Plug, RPi4ModelB002",Part__Feature1116,1,0.009,8.92,3.98,19.14,2.38,7.3,9.04
91,Extruded (30),Part__Feature091,1,0.008,-0.0,-0.0,2.5,7.47,0.2,5.0
93,Extruded (30)001,Part__Feature093,1,0.008,-0.0,0.0,2.5,7.47,0.2,5.0
182,User_Library-QFN-16,Part__Feature182,1,0.008,29.85,27.82,0.45,3.0,3.0,0.9
183,User_Library-QFN-001,Part__Feature183,1,0.008,31.5,40.7,0.45,3.0,3.0,0.9
869,Extruded (2) (1),Part__Feature870,1,0.008,0.0,0.0,2.5,0.2,7.47,5.0
871,Extruded (2) (1)001,Part__Feature872,1,0.008,0.0,0.0,2.5,0.2,7.47,5.0
1019,Extruded (10) (1),Part__Feature1020,1,0.008,-0.0,0.0,2.5,7.47,0.2,5.0
1021,Extruded (10) (1)001,Part__Feature1022,1,0.008,-0.0,0.0,2.5,7.47,0.2,5.0
1117,"Microphone Plug, RPi4ModelB004",Part__Feature1118,1,0.007,11.5,1.66,19.99,3.2,4.0,10.71
149,SOT-23,Part__Feature149,1,0.006,9.24,2.21,-2.24,3.0,3.0,1.3
150,SOT-001,Part__Feature150,1,0.006,18.43,2.21,-2.24,3.0,3.0,1.3
1368,L2520.xtd.step.IGS.STEP,Part__Feature1370,1,0.006,-1.87,-10.4,-0.6,2.29,2.9,1.22
1369,L2520.xtd.step.IGS.STEP001,Part__Feature1371,1,0.006,-0.73,-11.1,2.2,2.29,2.9,1.22
652,Cylinder,Part__Feature653,1,0.005,0.0,-0.0,5.0,0.8,0.8,10.0
653,Cylinder001,Part__Feature654,1,0.005,0.0,-0.0,5.0,0.8,0.8,10.0
659,Cylinder002,Part__Feature660,1,0.005,0.0,-0.0,5.0,0.8,0.8,10.0
660,Cylinder003,Part__Feature661,1,0.005,0.0,-0.0,5.0,0.8,0.8,10.0
1051,"2.54 mm DUPONT MALE PIN HEADER, POE, 2X2, RPi4ModelB001",Part__Feature1052,1,0.005,17.73,3.45,-19.63,0.64,11.3,0.64
1052,"2.54 mm DUPONT MALE PIN HEADER, POE, 2X2, RPi4ModelB002",Part__Feature1053,1,0.005,17.73,3.45,-17.09,0.64,11.3,0.64
1053,"2.54 mm DUPONT MALE PIN HEADER, POE, 2X2, RPi4ModelB003",Part__Feature1054,1,0.005,20.27,3.45,-19.63,0.64,11.3,0.64
1054,"2.54 mm DUPONT MALE PIN HEADER, POE, 2X2, RPi4ModelB004",Part__Feature1055,1,0.005,20.27,3.45,-17.09,0.64,11.3,0.64
1056,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB001",Part__Feature1057,1,0.005,-34.13,3.45,-25.77,0.64,11.3,0.64
1057,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB002",Part__Feature1058,1,0.005,-16.35,3.45,-25.77,0.64,11.3,0.64
1058,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB003",Part__Feature1059,1,0.005,-3.65,3.45,-23.23,0.64,11.3,0.64
1059,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB004",Part__Feature1060,1,0.005,-31.59,3.45,-23.23,0.64,11.3,0.64
1060,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB005",Part__Feature1061,1,0.005,9.05,3.45,-25.77,0.64,11.3,0.64
1061,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB006",Part__Feature1062,1,0.005,-1.11,3.45,-23.23,0.64,11.3,0.64
1062,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB007",Part__Feature1063,1,0.005,-8.73,3.45,-25.77,0.64,11.3,0.64
1063,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB008",Part__Feature1064,1,0.005,-16.35,3.45,-23.23,0.64,11.3,0.64
1064,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB009",Part__Feature1065,1,0.005,-23.97,3.45,-25.77,0.64,11.3,0.64
1065,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB010",Part__Feature1066,1,0.005,3.97,3.45,-23.23,0.64,11.3,0.64
1066,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB011",Part__Feature1067,1,0.005,-26.51,3.45,-23.23,0.64,11.3,0.64
1067,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB012",Part__Feature1068,1,0.005,-23.97,3.45,-23.23,0.64,11.3,0.64
1068,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB013",Part__Feature1069,1,0.005,-11.27,3.45,-25.77,0.64,11.3,0.64
1069,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB014",Part__Feature1070,1,0.005,-13.81,3.45,-25.77,0.64,11.3,0.64
1070,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB015",Part__Feature1071,1,0.005,3.97,3.45,-25.77,0.64,11.3,0.64
1071,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB016",Part__Feature1072,1,0.005,-13.81,3.45,-23.23,0.64,11.3,0.64
1072,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB017",Part__Feature1073,1,0.005,-1.11,3.45,-25.77,0.64,11.3,0.64
1073,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB018",Part__Feature1074,1,0.005,1.43,3.45,-23.23,0.64,11.3,0.64
1074,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB019",Part__Feature1075,1,0.005,9.05,3.45,-23.23,0.64,11.3,0.64
1075,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB020",Part__Feature1076,1,0.005,6.51,3.45,-23.23,0.64,11.3,0.64
1076,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB021",Part__Feature1077,1,0.005,11.59,3.45,-23.23,0.64,11.3,0.64
1077,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB022",Part__Feature1078,1,0.005,14.13,3.45,-25.77,0.64,11.3,0.64
1078,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB023",Part__Feature1079,1,0.005,14.13,3.45,-23.23,0.64,11.3,0.64
1079,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB024",Part__Feature1080,1,0.005,-29.05,3.45,-25.77,0.64,11.3,0.64
1080,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB025",Part__Feature1081,1,0.005,-21.43,3.45,-23.23,0.64,11.3,0.64
1081,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB026",Part__Feature1082,1,0.005,-6.19,3.45,-25.77,0.64,11.3,0.64
1082,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB027",Part__Feature1083,1,0.005,-31.59,3.45,-25.77,0.64,11.3,0.64
1083,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB028",Part__Feature1084,1,0.005,-18.89,3.45,-23.23,0.64,11.3,0.64
1084,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB029",Part__Feature1085,1,0.005,6.51,3.45,-25.77,0.64,11.3,0.64
1085,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB030",Part__Feature1086,1,0.005,-6.19,3.45,-23.23,0.64,11.3,0.64
1086,"2.54 mm DUPONT MALE PIN HEADER, IO, 2X20, RPi4ModelB031",Part__Feature1087,1,0.005,-21.43,3.45,-25.77,0.64,11.3,0.64
